round,table_number,player_1,player_1_score,player_2,player_2_score
9,4,Russell Honeybun,AUS,423,-
9,5,Puttapong Moonsarn,THA,494,-
9,6,Charles Carneiro,IND,341,-
9,7,Rasheed Balogun,USA,394,-
9,8,Joshua Castellano,USA,459,-
9,9,Madhav Gopal Kamath,IND,399,-
9,10,Irfan Siddiqui,BHR,402,-
9,11,Weibin Toh,SGP,418,-
9,12,Nopparuj Tipkaew,THA,489,-
9,13,Kian Boon Liew,SGP,464,-
9,14,Natalie Zolty,GBR,552,-
9,15,Natthakorn Siriwatthanaphongsa,THA,356,-
9,16,Suyash Manchali,IND,459,-
9,17,Soramet Mettaviharee,THA,492,-
9,18,Sujana Somasekar,IND,443,-
9,19,Jason Keller,USA,486,-
9,20,Piotr Andronowski,GBR,506,-
9,21,Chollapat Itthi-Aree,THA,468,-
9,22,Chaiyottha Manachaisit,THA,456,-
9,23,Euclid Hui,HKG,335,-
9,24,Michael Gongolo,KEN,325,-
9,25,Marlon Prudencio,SGP,479,-
9,26,Nattapat Nak-in,THA,446,-
9,27,Udayan Grover,IND,393,-
9,28,Ming Hui Hubert Wee,SGP,441,-
9,29,Jakkrit Klaphajone,THA,429,-
9,30,Samuel Crispin,GBR,399,-
9,31,Pesol Kosalakood,THA,436,-
9,32,Vannitha Balasingam,MYS,517,-
9,33,Aditya Iyengar,IND,468,-
9,34,Jimoh Abdulmumin,NGA,471,-
9,35,Sherwin Rodrigues,IND,426,-
9,36,Waseem Khatri,PAK,461,-
9,37,Sanhanat Klanying,THA,373,-
9,38,Siddharth Nithyanand,IND,477,-
9,39,Nuti Suri,THA,475,-
9,40,Charae Worapotpisut,THA,398,-
9,41,Ryan Wee,SGP,435,-
9,42,Orlet Bullock,VCT,379,-
9,43,Apirat Choomai,THA,375,-
9,44,Doko Oluwatimilehin,NGA,562,-
10,1,Josh Watt,AUS,410,-
10,2,Cameron Farlow,AUS,322,-
10,3,Dave Wiegand,USA,427,-
10,4,CharnwitS Sukhumrattanaporn,THA,485,-
10,5,Rob Robinsky,USA,434,-
10,6,Akshay Bhandarkar,IND,469,-
10,7,Thacha Koowirat,THA,450,-
10,8,Ben Schoenbrun,USA,484,-
10,9,Trevor Halsall,AUS,589,-
10,10,Kian Boon Liew,SGP,370,-
10,11,Komol Panyasophonlert,THA,493,-
10,12,Natthakorn Siriwatthanaphongsa,THA,406,-
10,13,Edward Okulicz,AUS,316,-
10,14,Jesse Day,USA,397,-
10,15,Alexander Gozali,IDN,386,-
10,16,Irfan Siddiqui,BHR,381,-
10,17,Ricky Purnomo,SGP,490,-
10,18,Rik Kennedy,GBR,387,-
10,19,Austin Shin,USA,498,-
10,20,Natalie Zolty,GBR,465,-
10,21,Nopparuj Tipkaew,THA,387,-
10,22,Harshan Lamabadusuriya,GBR,396,-
10,23,Brian Po,HKG,400,-
10,24,Jakkrit Klaphajone,THA,523,-
